,P,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51N,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,52N,53N,54N
24,588,704,708,662,618,621,575,535,537,485,441,788,375,331,316,288,245,200,175,160,121,95,82,19,0,28,71,85,115,152,175,205,250,402,434,461,503,512,542,615,670,712,751,781,0,944,0,1031,0,1115,1493,1549,1641,1730,1129,1182,1223,1275,1321,860,880,904,933,967,985,1008,598,623,645,694,725,746,792,828,850,323,349,369,421,445,474,524,548,576,620,647,678,1596,1683,1776
25,548,731,736,690,646,649,603,563,565,518,445,671,404,360,345,317,274,221,201,196,146,123,107,46,28,0,46,61,90,125,149,169,219,387,413,428,470,487,516,600,641,682,724,767,0,907,0,1001,0,1086,1471,1522,1608,1705,1100,1150,1197,1248,1287,839,850,879,909,939,963,980,574,595,618,677,703,722,778,801,827,360,377,403,464,489,508,565,588,612,664,689,714,1561,1657,1743
26,533,774,779,733,689,692,646,606,608,561,488,715,446,402,387,359,216,171,244,231,182,162,142,89,71,46,0,16,47,82,102,134,170,342,368,384,429,447,475,560,601,641,682,725,0,876,0,957,0,1045,1421,1479,1568,1663,1059,1115,1158,1207,1249,797,808,841,871,892,925,935,534,557,586,642,662,689,741,764,787,400,423,445,497,528,546,604,628,649,704,732,754,1521,1613,1702
27,495,788,793,747,703,705,659,619,621,574,525,872,461,417,402,374,331,286,259,245,204,178,163,106,85,61,16,0,28,73,89,123,164,333,361,377,415,434,458,545,587,624,668,714,0,847,0,944,0,1027,1411,1463,1556,1647,1045,1100,1144,1191,1231,785,798,823,856,876,909,926,514,541,561,615,642,672,714,743,768,417,446,467,515,541,565,614,640,668,716,746,768,1510,1595,1691
28,490,817,821,775,731,734,688,648,650,603,532,759,491,447,432,404,361,319,289,274,227,211,193,132,155,90,47,28,0,43,60,87,136,298,325,342,384,397,427,515,554,597,635,674,0,833,0,918,0,999,1384,1438,1528,1613,1014,1065,1103,1151,1196,748,759,792,818,843,878,892,483,510,533,592,613,630,695,709,732,438,462,478,539,558,585,636,664,688,737,766,784,1478,1567,1657
29,439,861,864,818,774,747,701,661,663,616,575,803,535,491,476,448,405,360,331,316,276,248,237,176,152,125,82,73,43,0,15,42,87,252,282,283,344,355,386,470,513,556,596,639,0,791,0,874,0,951,1341,1397,1487,1570,977,1028,1073,1115,1158,708,719,749,780,802,836,844,450,471,498,547,573,592,649,675,697,489,512,528,593,614,632,695,715,733,791,814,837,1437,1518,1614
30,402,875,880,834,790,793,747,707,709,662,611,1170,549,505,490,462,419,374,346,336,294,261,255,192,175,149,102,89,60,15,0,30,76,238,271,289,326,344,373,457,499,542,582,622,0,774,0,856,0,937,1327,1376,1472,1556,960,1013,1054,1101,1141,697,711,746,770,797,821,835,433,454,474,534,560,575,635,657,674,504,523,546,606,623,648,706,725,752,807,827,850,1415,1509,1598
31,395,904,909,863,819,822,776,737,739,692,619,896,557,513,498,470,427,382,374,360,320,296,284,221,205,169,134,123,87,42,30,0,43,208,239,260,295,313,342,428,469,511,549,590,0,746,0,824,0,910,1298,1351,1441,1528,932,979,1027,1073,1116,668,678,709,734,759,793,806,406,430,448,508,529,546,607,626,650,529,554,568,629,652,670,732,755,778,828,852,877,1391,1482,1573
32,346,948,953,907,863,865,819,779,781,734,663,890,621,577,562,534,492,447,418,406,359,340,330,264,250,219,170,164,136,87,76,43,0,168,195,214,252,268,300,385,421,464,507,548,0,704,0,785,0,866,1258,1305,1396,1484,893,942,982,1029,1075,629,637,670,697,723,753,765,365,387,405,464,485,506,564,586,608,576,596,621,677,695,721,777,801,823,880,899,922,1348,1437,1525
33,180,1167,1171,1125,1081,1084,1038,998,1000,953,886,1055,787,743,728,700,657,612,585,568,529,505,475,430,402,387,342,333,298,252,238,208,168,0,26,45,87,102,133,221,259,301,343,383,0,533,0,615,0,704,1087,1138,1226,1317,720,774,813,860,902,457,467,497,524,549,580,596,440,460,483,538,561,582,638,661,680,745,766,787,846,867,886,948,966,989,1048,1070,1095,1178,1271,1358
